formula,inchikey,mass,atom-count,bond-count,rotatable-bonds,tpsa,vabc,moriguchi-logp,rule-of-five-violations
C8H8O3,XQXPVVBIMDBYFF-UHFFFAOYSA-N,152.14732,19,19,2.0,57.53,139.492722305,1.1977325377,0
C6H8N2O3,HEXMLHKQVUFYME-UHFFFAOYSA-N,156.13932,19,19,3.0,78.76,140.430732171,-0.436141957214,0
C6H12O,JGEGJYXHCFUMJF-UHFFFAOYSA-N,100.15888,19,18,3.0,17.07,118.486134456,1.44211412817,0
C7H8O8,RQMCNDRMPZBEOD-UHFFFAOYSA-N,220.13362,23,22,6.0,149.2,189.404329883,-1.654708064,0
C9H18NO8P,XHFVGHPGDLDEQO-UHFFFAOYSA-N,299.214882,37,36,9.0,163.2,260.093230153,-2.05861822751,0
C12H23N2O9PS,XQYALQVLCNHCFT-UHFFFAOYSA-N,402.357782,48,47,13.0,231.1,347.640736296,-2.32145617126,2
C7H16NO,WIBPPLSPXDZDLF-UHFFFAOYSA-N,130.20804,25,24,4.0,20.31,148.09710864,-2.76945386774,0
C7H16NO2,FMBGFNSKQDIKAB-UHFFFAOYSA-N,146.20744,26,25,4.0,40.54,156.887335341,-2.79323402393,0
C7H6O3,FJKROLUGYXJWQN-UHFFFAOYSA-N,138.12074,16,16,1.0,57.53,122.19673768,1.13220817178,0
C20H22N7O6,MAQHZBZNOWCQHR-UHFFFAOYSA-N,456.43198,55,58,8.0,203.1,387.922640418,1.40876062359,2
C5H9NO3,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,131.12986,18,17,4.0,80.39,127.130904738,-0.755458766166,0
C5H11NO2,JJMDCOVWQOJGCB-UHFFFAOYSA-N,117.14634,19,18,4.0,63.32,120.977136739,0.159831327704,0
C27H48O3,RIVQQZVHIVNQFH-UHFFFAOYSA-N,420.66822,78,81,5.0,60.69,452.492888898,4.82092526449,0
C27H48O4,XJZGNVBLVFOSKJ-UHFFFAOYSA-N,436.66762,79,82,6.0,80.92,461.283115598,4.01309483398,0
C14H20N2O16P2,URJZIQLTPCJVMW-UHFFFAOYSA-N,534.259924,54,56,8.0,293.22,394.476686999,-5.50154434488,2
C10H13N5O3,XGYIMTFOTBMPFP-UHFFFAOYSA-N,251.24192,31,33,1.0,119.31,193.455575196,0.791409900643,0
C20H23N7O7,VVIAGPKUTFNRDU-UHFFFAOYSA-N,473.43932,57,59,11.0,219.84,407.751096469,0.297189152759,2
C11H12N2O3,LDCYZAJDBXYCGN-UHFFFAOYSA-N,220.22458,28,29,3.0,99.34,187.481279198,0.304390439382,0
C6H8O7,QUURPCHWPQNNGL-UHFFFAOYSA-N,192.12352,21,20,5.0,132.13,165.954577258,-1.98123460837,0
C20H25N7O6,ZNOVTXRBGFNYRX-UHFFFAOYSA-N,459.4558,58,60,10.0,202.77,401.597328469,0.670714583536,2
C11H15N5O3S,WUUGFSXJNOTRMR-UHFFFAOYSA-N,297.3335,35,37,3.0,119.31,229.26058388,1.08287590052,0
C5H12NO7P,SKCBPEVYGOQGJN-UHFFFAOYSA-N,229.125042,26,26,3.0,152.28,175.035523649,-3.29508490808,1
C8H15N2O9P,VDXLUNDMVKSKHO-UHFFFAOYSA-N,314.186462,35,35,8.0,184.46,250.227773735,-3.81619121426,2
C7H15N2O8P,OBQMLSFOUZUIOB-UHFFFAOYSA-N,286.176362,33,33,6.0,181.38,226.778021109,-3.73544257346,1
C8H14N3O7P,PDACUKOKVHBVHJ-UHFFFAOYSA-N,295.186422,33,34,4.0,170.1,220.387621841,-2.82465112355,1
C8H16N3O8P,PMCOGCVKOAOZQM-UHFFFAOYSA-N,313.201702,36,36,8.0,193.74,252.434307242,-3.41019121426,2
C5H6N4O3,PQSKWIHIUOGLHX-UHFFFAOYSA-N,170.12614,18,18,3.0,121.1,131.59180926,-1.49331337279,0
C6H8N4,IDAICLIJTRXNER-UHFFFAOYSA-N,136.15452,18,19,0.0,49.84,112.797113785,0.481521857316,0
C6H10O7,IZSRJDGCGRAUAR-UHFFFAOYSA-N,194.1394,23,22,5.0,135.29,168.591035958,-2.69650169236,0
C20H32O5,XEYBRNLFEZDVAW-UHFFFAOYSA-N,352.46508,57,57,14.0,94.83,375.524991217,2.11689405236,0
C20H32O5,KAQKFAOMNZTLHT-UHFFFAOYSA-N,352.46508,57,58,12.0,86.99,365.804991217,2.20725927728,0
C20H34O5,PXGPLTODNUVGFL-UHFFFAOYSA-N,354.48096,59,59,14.0,97.99,378.161449918,2.20725927728,0
C9H18N5O13P3,NTKATOSHVDZIIF-UHFFFAOYSA-N,497.186206,48,49,9.0,321.58,360.336535202,-6.63681943549,2
C8H12N2O3S,NGHVIOIJCVXTGV-UHFFFAOYSA-N,216.25748,26,27,1.0,83.63,183.81172548,0.308336433587,0
C28H46N7O19P3S,LYCRXMTYUZDUGA-UHFFFAOYSA-N,909.686626,104,106,28.0,430.36,734.865395566,-3.94421888864,2
C6H9N3O3,BPHXUWSLKLITGH-UHFFFAOYSA-N,171.15396,21,20,6.0,133.96,161.147492379,-2.03409906148,0
C6H10N3O3,BPHXUWSLKLITGH-UHFFFAOYSA-N,172.1619,22,21,6.0,131.13,162.465721729,-2.03409906148,0
C9H13N5O3,UTKFFKGIGIRCRY-UHFFFAOYSA-N,239.23122,30,31,2.0,125.68,210.316049271,-1.8019754344,0
C6H6N4,KVDQMARGGBLIJM-UHFFFAOYSA-N,134.13864,16,17,0.0,50.5,110.160655084,0.391156632393,0
C12H23O14P,ITPHOIFCAFNCLL-UHFFFAOYSA-N,422.276382,50,51,6.0,245.87,334.285784025,-6.17647818952,2
C20H32O4,VNYSSYRCGWBHLG-UHFFFAOYSA-N,336.46568,56,55,18.0,77.76,376.454764516,3.21065041501,0
C14H14N6O3,WBFYVDCHGVNRBH-UHFFFAOYSA-N,314.29936,37,39,4.0,145.49,263.090439105,0.964534854214,1
C7H9N5O,MEYMBLGOKYDGLZ-UHFFFAOYSA-N,179.17926,22,23,1.0,113.58,136.343626618,0.394756822479,1
C27H44O,UCTLRSWJYQTBFZ-UHFFFAOYSA-N,384.63766,72,75,5.0,20.23,429.639518095,6.28503486211,1
C9H17NO3,GUAHPAJOXVYFON-UHFFFAOYSA-N,187.23618,30,29,7.0,80.39,196.314843242,0.626208511801,0
C2H6O2,LYCAIKOWRPUZTN-UHFFFAOYSA-N,62.06784,10,9,1.0,40.46,60.7288813537,-1.05323769605,0
C2H3O2,QTBSBXVTEAMEQO-UHFFFAOYSA-N,59.04402,7,6,0.0,40.13,56.7741933025,-0.386237696047,0
C2H4O2,QTBSBXVTEAMEQO-UHFFFAOYSA-N,60.05196,8,7,0.0,37.3,58.0924226529,-0.386237696047,0
C2H4O,IKHGUXGNUITLKF-UHFFFAOYSA-N,44.05256,7,6,0.0,17.07,49.3021959523,-0.317448591261,0
C2H5NO,DLFVBJFMPXGRIB-UHFFFAOYSA-N,59.0672,9,8,0.0,43.09,60.2989561605,-0.792237696047,0
C4H8O2,ROWKJAVDOGWPAT-UHFFFAOYSA-N,88.10512,14,13,1.0,37.3,92.6843919046,-0.225827597553,0
C3H6O,CSCPPACGZOOCGX-UHFFFAOYSA-N,58.07914,10,9,0.0,17.07,66.5981805782,0.201878463895,0
C23H38N7O17P3S,ZSLZBFCDCINBPY-UHFFFAOYSA-N,809.570806,89,91,22.0,393.06,633.441477736,-4.37953667337,2
C63H105NO12P2,NEVJGTXBHJNFAZ-UHFFFAOYSA-N,1130.454824,183,183,51.0,220.93,1210.34351445,4.11219718407,2
C71H118N2O17P2,CALMUTCFVFZDOC-UHFFFAOYSA-N,1333.647344,210,211,56.0,308.95,1388.66636777,1.39668421756,2
C12H21N3O8,YTTRPBWEMMPYSW-UHFFFAOYSA-N,335.31044,44,44,8.0,191.44,299.154533637,-2.62309094633,2
C7H11NO5,RFMMMVDNIPUKGG-UHFFFAOYSA-N,189.16594,24,23,6.0,103.7,176.66686869,-0.462877952599,0
C2H5O5P,LIPOUNRJVLNBCD-UHFFFAOYSA-N,140.031862,13,12,2.0,93.64,104.290356163,-2.11297176064,0
C7H16NO2,BZGDFQMHYCEBPB-UHFFFAOYSA-N,146.20744,26,25,4.0,29.54,156.887335341,-2.79323402393,0
C14H24O12,QBQSGZSHVKFNMZ-UHFFFAOYSA-N,384.33316,50,51,6.0,195.6,328.833587767,-4.22449808255,2
C5H9NO4,VZXPDPZARILFQX-UHFFFAOYSA-N,147.12926,19,18,4.0,89.62,135.921131439,-0.731122580696,0
C5H5N5,GFFGJBXGBJISGV-UHFFFAOYSA-N,135.1267,15,16,0.0,80.48,92.9614306662,0.573779278372,0
C10H13N5O4,OIRDTQYFTABQOQ-UHFFFAOYSA-N,267.24132,32,34,2.0,139.54,202.245801897,0.320401882606,0
C15H23N5O14P2,SRNWOUGRCWSEMX-UHFFFAOYSA-N,559.315744,59,62,9.0,311.14,403.926040147,-4.1750859405,2
C14H20N6O5S,ZJUKTBDSGOFHSH-UHFFFAOYSA-N,384.4108,46,48,7.0,182.63,307.089292666,0.432019463232,2
C20H28N10O19P4,YOAHKNVSNCMZGQ-UHFFFAOYSA-N,836.386968,81,86,14.0,473.21,571.936652431,-4.15804649211,2
C14H18N5O11P,OFBHPPMPBOJXRT-UHFFFAOYSA-N,463.293382,49,51,9.0,256.49,347.515663311,-1.36830210498,2
C6H10O4,WNLRTRBMVRJNCN-UHFFFAOYSA-N,146.1412,20,19,5.0,74.6,142.220355857,0.434254773325,0
C10H15N5O10P2,XTWYTFMLZFPYCI-UHFFFAOYSA-N,427.201124,42,44,6.0,252.22,294.641668916,-2.51250960586,2
C16H25N5O15P2,WFPZSXYXPSUOPY-UHFFFAOYSA-N,589.341724,63,66,9.0,331.37,430.012251474,-4.60578292416,2
C5H14N4,QYPPJABKJHAVHS-UHFFFAOYSA-N,130.19146,23,22,5.0,90.42,136.386963962,0.16400089719,1
C9H15N4O8P,NOTGFIUVDGNKRI-UHFFFAOYSA-N,338.211162,37,38,5.0,213.19,254.834134675,-3.36433097744,2
C35H60O7P2,LSJLEXWXRKTZAJ-UHFFFAOYSA-N,654.794224,104,103,30.0,132.91,696.64680342,4.38364832471,0
C30H52O7P2,NGFSMHKFTZROKJ-UHFFFAOYSA-N,586.677204,91,90,26.0,132.91,612.803338992,3.53152286244,0
C4H8N4O4,NUCLJNSWZCHRKL-UHFFFAOYSA-N,176.13072,20,19,5.0,147.54,148.978968737,-2.70471656889,1
C4H6N4O3,POJWUDADGALRAB-UHFFFAOYSA-N,158.11544,17,17,2.0,113.32,127.832283335,-2.75438722931,0
